0,1,2,3
#A-C=-8.19,12.29,242.69,1594397458.8135717
#M-C=65.00,-210.83,-77.50,1594397458.8247647
#G-C=3.00,-5.00,-1.00,1594397458.82928
#A-C=-9.22,12.29,241.66,1594397458.8333642
#M-C=65.17,-211.33,-78.00,1594397458.8389976
#G-C=5.00,-1.00,0.00,1594397458.8427663
#A-C=-10.24,12.29,242.69,1594397458.8531103
#M-C=65.00,-211.50,-78.00,1594397458.8610506
#G-C=8.00,-3.00,1.00,1594397458.8667376
#A-C=-9.22,12.29,241.66,1594397458.8733788
#M-C=65.00,-211.67,-78.50,1594397458.8790545
#G-C=5.00,-4.00,-3.00,1594397458.8861127
#A-C=-8.19,12.29,241.66,1594397458.8931518
#M-C=65.33,-211.17,-78.67,1594397458.8990722
#G-C=-1.00,-5.00,-2.00,1594397458.9047284
#A-C=-9.22,11.26,242.69,1594397458.9133184
#M-C=64.67,-211.17,-77.83,1594397458.9190466
#G-C=-3.00,-12.00,-4.00,1594397458.9241655
#A-C=-9.22,13.31,241.66,1594397458.9332979
#M-C=65.67,-211.17,-78.17,1594397458.9391305
#G-C=4.00,-3.00,-7.00,1594397458.9439535
#A-C=-9.22,13.31,241.66,1594397458.953272
#M-C=65.33,-211.50,-78.33,1594397458.959779
#G-C=-2.00,-8.00,-3.00,1594397458.9652812
#A-C=-9.22,14.34,244.74,1594397458.973174
#M-C=65.00,-211.50,-78.33,1594397458.9791262
#G-C=7.00,1.00,-1.00,1594397458.9842246
#A-C=-9.22,14.34,241.66,1594397458.9933276
#M-C=65.00,-211.83,-77.83,1594397458.999565
#G-C=9.00,-6.00,-1.00,1594397459.0056658
#A-C=-8.19,12.29,242.69,1594397459.0131958
#M-C=65.33,-211.50,-78.50,1594397459.0190687
#G-C=6.00,-1.00,-1.00,1594397459.0245616
#A-C=-10.24,13.31,243.71,1594397459.0332603
#M-C=65.00,-211.33,-78.17,1594397459.039287
#G-C=9.00,-2.00,-4.00,1594397459.0444036
#A-C=-9.22,12.29,242.69,1594397459.0532024
#M-C=65.17,-210.67,-78.33,1594397459.0590436
#G-C=1.00,-8.00,-3.00,1594397459.064076
#A-C=-8.19,12.29,242.69,1594397459.0732994
#M-C=65.00,-211.17,-78.17,1594397459.07904
#G-C=1.00,-5.00,-5.00,1594397459.0841808
#A-C=-8.19,12.29,242.69,1594397459.0933626
#M-C=65.00,-211.33,-78.33,1594397459.0990062
#G-C=8.00,-6.00,-8.00,1594397459.1042223
#A-C=-8.19,13.31,241.66,1594397459.113356
#M-C=65.33,-211.67,-78.17,1594397459.1193829
#G-C=7.00,2.00,3.00,1594397459.1247396
#A-C=-8.19,12.29,241.66,1594397459.1332495
#M-C=65.17,-211.17,-78.17,1594397459.1392238
#G-C=7.00,-8.00,-3.00,1594397459.1462653
#A-C=-8.19,12.29,241.66,1594397459.1530938
#M-C=64.83,-211.17,-78.17,1594397459.1589816
#G-C=2.00,1.00,-3.00,1594397459.162906
#A-C=-9.22,13.31,242.69,1594397459.1731899
#M-C=65.17,-211.83,-79.00,1594397459.1796875
#G-C=-1.00,-2.00,-1.00,1594397459.18529
#A-C=-8.19,12.29,242.69,1594397459.193235
#M-C=64.50,-211.50,-77.83,1594397459.1990044
#G-C=2.00,-1.00,1.00,1594397459.2040787
#A-C=-8.19,12.29,242.69,1594397459.2142096
#M-C=65.17,-211.50,-78.67,1594397459.2220702
#G-C=6.00,-7.00,-1.00,1594397459.2267513
#A-C=-7.17,12.29,243.71,1594397459.233301
#M-C=64.67,-211.17,-77.83,1594397459.2409968
#G-C=7.00,-1.00,0.00,1594397459.2476547
#A-C=-8.19,12.29,242.69,1594397459.25315
#M-C=64.83,-211.17,-78.17,1594397459.2590518
#G-C=5.00,-3.00,-7.00,1594397459.2641847
#A-C=-9.22,12.29,241.66,1594397459.2732556
#M-C=65.00,-211.33,-78.33,1594397459.2791152
#G-C=6.00,-3.00,-1.00,1594397459.2841887
#A-C=-9.22,12.29,242.69,1594397459.2931502
#M-C=65.17,-211.50,-78.50,1594397459.2991705
#G-C=-3.00,-5.00,0.00,1594397459.3054614
#A-C=-7.17,11.26,242.69,1594397459.3143635
#M-C=64.83,-211.67,-78.17,1594397459.3195367
#G-C=3.00,-5.00,2.00,1594397459.3247604
#A-C=-9.22,11.26,241.66,1594397459.3331316
#M-C=65.00,-211.67,-79.33,1594397459.3392487
#G-C=8.00,-5.00,-6.00,1594397459.344512
#A-C=-7.17,13.31,239.62,1594397459.3532455
#M-C=65.00,-211.17,-77.83,1594397459.3595448
#G-C=-1.00,-5.00,-6.00,1594397459.3646631
#A-C=-10.24,13.31,241.66,1594397459.3731222
#M-C=64.83,-211.33,-78.50,1594397459.37942
#G-C=6.00,-3.00,-1.00,1594397459.3845978
#A-C=-9.22,14.34,241.66,1594397459.3932498
#M-C=65.33,-211.00,-78.33,1594397459.3992343
#G-C=1.00,-7.00,0.00,1594397459.405392
#A-C=-9.22,12.29,242.69,1594397459.4131033
#M-C=65.33,-211.00,-78.17,1594397459.419109
#G-C=-1.00,-7.00,-1.00,1594397459.4249005
#A-C=-9.22,12.29,242.69,1594397459.4332976
#M-C=65.00,-211.50,-78.00,1594397459.439121
#G-C=4.00,-3.00,-3.00,1594397459.4448626
#A-C=-10.24,13.31,241.66,1594397459.4534729
#M-C=65.17,-211.00,-78.00,1594397459.461873
#G-C=14.00,-1.00,-8.00,1594397459.4681773
#A-C=-9.22,13.31,242.69,1594397459.4733639
