0,1,2,3
-10.24,3.07,239.62,1594395577.5308354
#M-C=-79.50,-238.50,-157.33,1594395577.5433743
#G-C=1.00,-10.00,2.00,1594395577.547623
#A-C=-7.17,4.10,244.74,1594395577.5522
#M-C=-80.00,-238.17,-157.33,1594395577.5565941
#G-C=-6.00,-5.00,0.00,1594395577.5607243
#A-C=-8.19,4.10,244.74,1594395577.56916
#M-C=-79.17,-238.67,-157.83,1594395577.5752
#G-C=8.00,-7.00,3.00,1594395577.5815487
#A-C=-7.17,4.10,243.71,1594395577.5892744
#M-C=-79.83,-238.33,-157.17,1594395577.5952005
#G-C=6.00,-4.00,-3.00,1594395577.6000276
#A-C=-8.19,5.12,243.71,1594395577.6092665
#M-C=-79.67,-238.83,-157.67,1594395577.6153345
#G-C=7.00,-7.00,-2.00,1594395577.6216326
#A-C=-9.22,5.12,244.74,1594395577.629301
#M-C=-80.00,-238.17,-157.17,1594395577.6362863
#G-C=3.00,-5.00,1.00,1594395577.642772
#A-C=-8.19,3.07,244.74,1594395577.6491528
#M-C=-79.67,-239.00,-157.33,1594395577.6552675
#G-C=12.00,0.00,-6.00,1594395577.6604478
#A-C=-9.22,4.10,243.71,1594395577.6692536
#M-C=-80.33,-238.50,-157.17,1594395577.6751227
#G-C=1.00,2.00,-5.00,1594395577.679846
#A-C=-8.19,4.10,244.74,1594395577.6892104
#M-C=-79.67,-239.00,-157.83,1594395577.6952975
#G-C=-2.00,-12.00,-1.00,1594395577.7008193
#A-C=-8.19,3.07,243.71,1594395577.7095826
#M-C=-79.67,-239.17,-156.67,1594395577.7185886
#G-C=5.00,-1.00,-2.00,1594395577.7246366
#A-C=-8.19,3.07,243.71,1594395577.7291763
#M-C=-79.33,-238.83,-157.17,1594395577.7350984
#G-C=3.00,-9.00,-2.00,1594395577.7395418
#A-C=-7.17,3.07,243.71,1594395577.7492633
#M-C=-80.00,-238.67,-156.83,1594395577.7574859
#G-C=7.00,-8.00,-1.00,1594395577.7621012
#A-C=-8.19,4.10,243.71,1594395577.7691143
#M-C=-80.00,-239.00,-157.33,1594395577.7752397
#G-C=4.00,-4.00,-1.00,1594395577.7824252
#A-C=-8.19,4.10,244.74,1594395577.7893348
#M-C=-80.00,-238.83,-157.33,1594395577.7954576
#G-C=1.00,-6.00,-3.00,1594395577.8012269
#A-C=-8.19,4.10,243.71,1594395577.809367
#M-C=-80.00,-239.00,-157.67,1594395577.817724
#G-C=6.00,-10.00,-2.00,1594395577.8231146
#A-C=-8.19,4.10,244.74,1594395577.8296366
#M-C=-79.83,-239.17,-157.00,1594395577.8355384
#G-C=-2.00,-6.00,1.00,1594395577.843594
#A-C=-9.22,3.07,243.71,1594395577.8491704
#M-C=-79.67,-239.00,-157.83,1594395577.8551545
#G-C=0.00,-5.00,1.00,1594395577.8599052
#A-C=-7.17,3.07,243.71,1594395577.869165
#M-C=-80.17,-238.67,-157.17,1594395577.8754263
#G-C=6.00,-2.00,-4.00,1594395577.8816886
#A-C=-8.19,3.07,243.71,1594395577.8893266
#M-C=-79.83,-239.00,-157.83,1594395577.8951194
#G-C=12.00,-6.00,-2.00,1594395577.900299
#A-C=-8.19,4.10,244.74,1594395577.909335
#M-C=-80.00,-238.83,-157.50,1594395577.9151382
#G-C=2.00,-5.00,255.00,1594395577.920787
#A-C=-8.19,3.07,243.71,1594395577.930352
#M-C=-80.00,-238.83,-157.50,1594395577.9385579
#G-C=3.00,-4.00,1.00,1594395577.9447973
#A-C=-8.19,4.10,243.71,1594395577.9493039
#M-C=-80.00,-238.33,-157.17,1594395577.9552386
#G-C=7.00,-6.00,-1.00,1594395577.9596763
#A-C=-7.17,4.10,244.74,1594395577.9692595
#M-C=-79.67,-238.67,-157.00,1594395577.9768574
#G-C=3.00,-4.00,6.00,1594395577.983504
#A-C=-8.19,4.10,243.71,1594395577.9892795
#M-C=-79.67,-238.50,-157.00,1594395577.9951446
#G-C=3.00,-5.00,-5.00,1594395578.0002692
#A-C=-9.22,4.10,244.74,1594395578.0092173
#M-C=-79.83,-238.50,-157.17,1594395578.0153124
#G-C=5.00,-2.00,-2.00,1594395578.0214205
