0,1,2,3
#M-C=-7.83,-304.67,-164.50,1594397074.6329145
#G-C=0.00,-6.00,-5.00,1594397074.6382527
#A-C=-10.24,19.46,239.62,1594397074.6454167
#M-C=-8.33,-304.67,-164.33,1594397074.651295
#G-C=8.00,-6.00,0.00,1594397074.6572368
#A-C=-10.24,17.41,242.69,1594397074.665434
#M-C=-8.17,-305.17,-164.33,1594397074.6713123
#G-C=0.00,-6.00,3.00,1594397074.6767206
#A-C=-8.19,17.41,244.74,1594397074.685383
#M-C=-8.00,-304.67,-164.00,1594397074.6912265
#G-C=3.00,-2.00,2.00,1594397074.696393
#A-C=-6.14,17.41,238.59,1594397074.7052476
#M-C=-8.33,-304.83,-164.00,1594397074.7114837
#G-C=7.00,-7.00,249.00,1594397074.717857
#A-C=-8.19,18.43,243.71,1594397074.7254238
#M-C=-8.17,-305.67,-164.50,1594397074.7312138
#G-C=0.00,-6.00,-5.00,1594397074.7359004
#A-C=-7.17,18.43,242.69,1594397074.7453973
#M-C=-8.50,-305.33,-164.33,1594397074.7514465
#G-C=-1.00,-3.00,-1.00,1594397074.7575064
#A-C=-7.17,16.38,241.66,1594397074.7653203
#M-C=-8.33,-305.17,-164.33,1594397074.7713418
#G-C=4.00,-2.00,-2.00,1594397074.7774885
#A-C=-8.19,18.43,242.69,1594397074.7853436
#M-C=-8.00,-305.33,-164.17,1594397074.7913003
#G-C=1.00,-3.00,-3.00,1594397074.7964644
#A-C=-8.19,17.41,241.66,1594397074.8064044
#M-C=-8.17,-305.33,-164.17,1594397074.811667
#G-C=0.00,-1.00,0.00,1594397074.8166356
#A-C=-8.19,18.43,241.66,1594397074.8254445
#M-C=-8.00,-305.33,-163.67,1594397074.8315232
#G-C=2.00,-4.00,4.00,1594397074.8366063
#A-C=-8.19,16.38,242.69,1594397074.845291
#M-C=-7.83,-305.00,-164.83,1594397074.8514123
#G-C=8.00,-3.00,-7.00,1594397074.856456
#A-C=-7.17,17.41,239.62,1594397074.865419
#M-C=-8.17,-304.67,-164.33,1594397074.8715682
#G-C=1.00,-3.00,0.00,1594397074.877918
#A-C=-7.17,16.38,242.69,1594397074.8853455
#M-C=-8.00,-305.00,-164.50,1594397074.8913841
#G-C=6.00,1.00,2.00,1594397074.8977585
#A-C=-9.22,16.38,241.66,1594397074.906338
#M-C=-8.17,-305.33,-164.17,1594397074.91133
#G-C=3.00,-4.00,3.00,1594397074.9173493
#A-C=-9.22,17.41,241.66,1594397074.9254816
#M-C=-7.83,-305.33,-164.17,1594397074.931409
#G-C=255.00,-5.00,4.00,1594397074.9365158
#A-C=-8.19,16.38,241.66,1594397074.9454093
#M-C=-8.33,-305.67,-164.17,1594397074.951577
#G-C=1.00,-2.00,1.00,1594397074.9576669
#A-C=-8.19,19.46,241.66,1594397074.9654675
#M-C=-8.00,-305.00,-164.83,1594397074.9714034
#G-C=4.00,-6.00,7.00,1594397074.976366
#A-C=-8.19,17.41,242.69,1594397074.9852161
#M-C=-8.50,-304.67,-164.33,1594397074.9913287
#G-C=6.00,-6.00,0.00,1594397074.9962244
#A-C=-9.22,17.41,241.66,1594397075.0052135
#M-C=-8.67,-305.33,-164.67,1594397075.0112622
#G-C=9.00,-10.00,7.00,1594397075.016294
#A-C=-8.19,16.38,242.69,1594397075.025734
#M-C=-8.67,-305.00,-164.17,1594397075.0336003
#G-C=1.00,-6.00,7.00,1594397075.0399232
#A-C=-8.19,19.46,241.66,1594397075.0452445
#M-C=-8.00,-305.50,-164.67,1594397075.0514493
#G-C=6.00,-5.00,14.00,1594397075.0565486
#A-C=-8.19,18.43,243.71,1594397075.0655363
#M-C=-8.83,-304.83,-164.33,1594397075.071674
#G-C=9.00,-9.00,7.00,1594397075.0767853
#A-C=-10.24,17.41,242.69,1594397075.085345
#M-C=-8.67,-305.17,-164.83,1594397075.0912685
#G-C=4.00,-1.00,7.00,1594397075.0964499
#A-C=-8.19,16.38,244.74,1594397075.1053958
#M-C=-8.50,-305.33,-163.83,1594397075.1112761
#G-C=-3.00,-7.00,10.00,1594397075.117412
#A-C=-8.19,16.38,242.69,1594397075.1253457
#M-C=-8.67,-305.50,-165.00,1594397075.1313612
#G-C=3.00,-10.00,2.00,1594397075.1393495
#A-C=-8.19,17.41,241.66,1594397075.1452959
#M-C=-9.17,-305.00,-164.50,1594397075.1512399
#G-C=3.00,-1.00,6.00,1594397075.1564922
#A-C=-6.14,16.38,241.66,1594397075.1654074
#M-C=-8.50,-305.50,-164.67,1594397075.1713846
#G-C=5.00,-8.00,8.00,1594397075.1776228
#A-C=-8.19,17.41,241.66,1594397075.1854048
#M-C=-8.83,-305.33,-164.17,1594397075.1914144
#G-C=4.00,-5.00,14.00,1594397075.1974194
#A-C=-9.22,17.41,242.69,1594397075.2054453
#M-C=-9.17,-305.83,-165.00,1594397075.2114024
#G-C=5.00,-9.00,10.00,1594397075.2163756
#A-C=-8.19,18.43,242.69,1594397075.2253814
#M-C=-9.17,-305.50,-164.17,1594397075.2314932
#G-C=3.00,-7.00,12.00,1594397075.2366145
#A-C=-9.22,17.41,239.62,1594397075.2452664
#M-C=-9.00,-305.00,-164.83,1594397075.2514782
#G-C=11.00,-1.00,6.00,1594397075.2566044
#A-C=-8.19,17.41,243.71,1594397075.2654855
#M-C=-9.17,-305.17,-164.50,1594397075.2717896
#G-C=5.00,-9.00,6.00,1594397075.276864
#A-C=-7.17,15.36,242.69,1594397075.285377
#M-C=-8.83,-305.17,-166.17,1594397075.291902
#G-C=-2.00,-4.00,5.00,1594397075.2971177
#A-C=-6.14,16.38,242.69,1594397075.3055894
#M-C=-9.50,-305.33,-164.33,1594397075.312759
#G-C=7.00,-10.00,9.00,1594397075.3188555
#A-C=-5.12,16.38,241.66,1594397075.325237
#M-C=-9.83,-304.50,-164.33,1594397075.3312185
#G-C=8.00,-9.00,27.00,1594397075.3363678
#A-C=-8.19,17.41,240.64,1594397075.34541
#M-C=-9.83,-305.50,-164.67,1594397075.3514924
#G-C=11.00,-1.00,46.00,1594397075.3576417
#A-C=-6.14,17.41,241.66,1594397075.3655434
#M-C=-10.33,-305.67,-164.67,1594397075.3717136
#G-C=5.00,-12.00,53.00,1594397075.3777282
#A-C=-6.14,17.41,242.69,1594397075.385214
#M-C=-10.50,-306.00,-164.50,1594397075.391412
#G-C=3.00,-9.00,52.00,1594397075.3974934
#A-C=-6.14,22.53,253.95,1594397075.405394
#M-C=-11.00,-305.83,-165.00,1594397075.4116843
#G-C=32.00,-69.00,62.00,1594397075.4176672
#A-C=-8.19,20.48,249.86,1594397075.4254196
#M-C=-12.17,-305.17,-166.17,1594397075.4313293
#G-C=50.00,-131.00,84.00,1594397075.4364495
#A-C=-7.17,11.26,246.78,1594397075.4452713
