0,1,2,3
#M-C=139.50,-206.00,3.00,1594399651.6670318
#G-C=4.00,-3.00,-11.00,1594399651.6722176
#A-C=-8.19,2.05,242.69,1594399651.6802673
#M-C=140.00,-206.00,2.67,1594399651.6860971
#G-C=4.00,-4.00,-2.00,1594399651.6911657
#A-C=-8.19,3.07,241.66,1594399651.7003622
#M-C=139.83,-206.00,3.00,1594399651.7061658
#G-C=-3.00,256.00,-1.00,1594399651.7124684
#A-C=-10.24,4.10,242.69,1594399651.720518
#M-C=139.50,-206.50,2.83,1594399651.7268147
#G-C=-245.00,-2.00,4.00,1594399651.7315989
#A-C=-8.19,3.07,242.69,1594399651.7403302
#M-C=139.33,-206.50,3.00,1594399651.7467673
#G-C=-248.00,5.00,2.00,1594399651.752019
#A-C=-9.22,3.07,242.69,1594399651.7604733
#M-C=139.83,-206.50,2.67,1594399651.7682981
#G-C=254.00,3.00,7.00,1594399651.7732956
#A-C=-10.24,3.07,243.71,1594399651.7803319
#M-C=139.50,-206.50,2.83,1594399651.786156
#G-C=4.00,2.00,-8.00,1594399651.7916825
#A-C=-9.22,4.10,242.69,1594399651.8003683
#M-C=139.50,-206.50,3.00,1594399651.8062296
#G-C=-2.00,0.00,-5.00,1594399651.8111763
#A-C=-9.22,3.07,243.71,1594399651.820287
#M-C=139.50,-206.67,3.33,1594399651.8263426
#G-C=8.00,-2.00,4.00,1594399651.8323812
#A-C=-9.22,3.07,242.69,1594399651.8401139
#M-C=139.17,-206.17,3.50,1594399651.8462
#G-C=6.00,-1.00,-1.00,1594399651.8524284
#A-C=-9.22,3.07,241.66,1594399651.860313
#M-C=139.67,-205.83,2.67,1594399651.86632
#G-C=-5.00,-9.00,-2.00,1594399651.8726137
#A-C=-9.22,2.05,242.69,1594399651.8805342
#M-C=139.83,-206.33,3.00,1594399651.8886352
#G-C=15.00,1.00,1.00,1594399651.8935728
#A-C=-10.24,3.07,242.69,1594399651.9002688
#M-C=139.67,-206.83,2.50,1594399651.9062855
#G-C=-248.00,-5.00,-7.00,1594399651.9107065
#A-C=-8.19,3.07,243.71,1594399651.9203436
#M-C=139.83,-206.67,2.67,1594399651.9270387
#G-C=-2.00,0.00,-14.00,1594399651.9323606
#A-C=-9.22,3.07,241.66,1594399651.940203
#M-C=139.83,-206.83,2.67,1594399651.946449
#G-C=1.00,-3.00,0.00,1594399651.9526854
#A-C=-9.22,2.05,242.69,1594399651.9602113
#M-C=139.67,-206.33,2.33,1594399651.9663358
#G-C=-2.00,-251.00,-1.00,1594399651.9721987
#A-C=-8.19,3.07,243.71,1594399651.9802766
#M-C=139.33,-207.00,2.67,1594399651.9864304
#G-C=11.00,-6.00,-6.00,1594399651.994452
#A-C=-8.19,3.07,241.66,1594399652.0002558
#M-C=139.67,-206.33,3.00,1594399652.0061595
#G-C=3.00,-8.00,2.00,1594399652.0119507
#A-C=-9.22,4.10,240.64,1594399652.0202782
#M-C=139.33,-206.67,3.17,1594399652.0263126
#G-C=2.00,1.00,3.00,1594399652.0315015
#A-C=-7.17,3.07,242.69,1594399652.0402827
#M-C=139.83,-206.50,2.50,1594399652.0463486
#G-C=-246.00,-1.00,-11.00,1594399652.0524476
#A-C=-8.19,3.07,241.66,1594399652.0602303
#M-C=139.67,-206.50,2.67,1594399652.0663218
#G-C=4.00,-1.00,11.00,1594399652.0716143
